name,id
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 376 Московского района Санкт-Петербурга,1137847313009
ГБОУ СОШ №376,1137847313009
Школа № 376,1137847313009
Школа №376,1137847313009
"№ 376, школа",1137847313009
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 156 с углубленным изучением информатики Калининского района Санкт-Петербурга,1027802499339
ГБОУ СОШ №156,1027802499339
ГОУ СОШ №156,1027802499339
Школа № 156,1027802499339
Школа №156,1027802499339
"№ 156, школа",1027802499339
Государственное бюджетное общеобразовательное учреждение школа №153 Фрунзенского района Санкт-Петербурга,1027807992761
ГБОУ СОШ №153,1027807992761
ГОУ ВСОШ №153,1027807992761
Школа № 153,1027807992761
Школа №153,1027807992761
"№ 153, школа",1027807992761
Государственное бюджетное общеобразовательное учреждение школа-интернат № 2 Адмиралтейского района Санкт-Петербурга,1027810346739
ГБС(К) ОУ инт №2,1027810346739
ГОУ СК №2 инт,1027810346739
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №444 Фрунзенского района Санкт-Петербурга,1027807991452
ГБОУ СОШ №444,1027807991452
ГОУ СОШ №444,1027807991452
Школа № 444,1027807991452
Школа №444,1027807991452
"№ 444, школа",1027807991452
Государственное бюджетное общеобразовательное учреждение гимназия № 397 Кировского района Санкт-Петербурга имени Г.В. Старовойтовой,1027802760644
ГБОУ гимназия №397,1027802760644
ГОУ гимназия №397,1027802760644
Гимназия № 397,1027802760644
Гимназия №397,1027802760644
"№ 397, гимназия",1027802760644
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 409 Пушкинского района Санкт-Петербурга,1027809003584
ГБОУ СОШ №409,1027809003584
ГОУ СОШ №409,1027809003584
Школа № 409,1027809003584
Школа №409,1027809003584
"№ 409, школа",1027809003584
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №72 с углублённым изучением немецкого языка Калининского района Санкт-Петербурга,1027802497260
ГБОУ СОШ №72,1027802497260
ГОУ СОШ №72,1027802497260
Школа № 72,1027802497260
Школа №72,1027802497260
"№ 72, школа",1027802497260
Государственное бюджетное общеобразовательное учреждение гимназия № 631 Приморского района Санкт-Петербурга,1027807591965
ГБОУ гимназия №631,1027807591965
ГОУ гимназия №631,1027807591965
Гимназия № 631,1027807591965
Гимназия №631,1027807591965
"№ 631, гимназия",1027807591965
Государственное бюджетное общеобразовательное учреждение школа-интернат № 2 Кировского района Санкт-Петербурга,1027802738413
ГБОУ школа-интернат №2,1027802738413
ГС(К)ОУ инт.№2 (IV вида),1027802738413
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 358 Московского района Санкт-Петербурга,1027804892345
ГБОУ СОШ №358,1027804892345
ГОУ СОШ №358,1027804892345
Школа № 358,1027804892345
Школа №358,1027804892345
"№ 358, школа",1027804892345
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 15 Василеостровского района Санкт-Петербурга,1037800017584
ГБОУ СОШ №15,1037800017584
Школа № 15,1037800017584
Школа №15,1037800017584
"№ 15, школа",1037800017584
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №103 с углубленным изучением математики Выборгского района Санкт-Петербурга,1027801583590
ГБОУ СОШ №103,1027801583590
ГОУ СОШ №103,1027801583590
Школа № 103,1027801583590
Школа №103,1027801583590
"№ 103, школа",1027801583590
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 456 Колпинского района Санкт-Петербурга,1027808758196
ГБОУ СОШ №456,1027808758196
ГОУ СОШ №456,1027808758196
Школа № 456,1027808758196
Школа №456,1027808758196
"№ 456, школа",1027808758196
Государственное бюджетное общеобразовательное учреждение школа-интернат № 576 среднего общего образования с углубленным изучением предмета физическая культура Василеостровского района Санкт-Петербурга,1047800031355
ГБОУ ШИ №576,1047800031355
ГОУ ШИ №576,1047800031355
Государственное бюджетное общеобразовательное учреждение школа №609 Красногвардейского района Санкт-Петербурга,1037816029415
ГБОУ №609,1037816029415
ГС(К)ОУ №609,1037816029415
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №2 Василеостровского района Санкт-Петербурга,1027800547610
ГБОУ СОШ №2,1027800547610
Школа № 2,1027800547610
Школа №2,1027800547610
"№ 2, школа",1027800547610
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 113 с углубленным изучением предметов информационно-технологического профиля Приморского района Санкт-Петербурга,1027807583187
ГБОУ СОШ №113,1027807583187
ГОУ СОШ №113,1027807583187
Школа № 113,1027807583187
Школа №113,1027807583187
"№ 113, школа",1027807583187
Государственное бюджетное общеобразовательное учреждение гимназия №586 Василеостровского района Санкт-Петербурга,1037800017551
ГБОУ гимназия №586,1037800017551
ГОУ гимназия №586,1037800017551
Гимназия № 586,1037800017551
Гимназия №586,1037800017551
"№ 586, гимназия",1037800017551
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 146 Калининского района Санкт-Петербурга,1027802497909
ГБОУ СОШ №146,1027802497909
ГОУ СОШ №146,1027802497909
Школа № 146,1027802497909
Школа №146,1027802497909
"№ 146, школа",1027802497909
Государственное бюджетное общеобразовательное учреждение лицей № 572 Невского района Санкт-Петербурга,1037825006394
ГБОУ лицей №572,1037825006394
ГОУ лицей №572,1037825006394
Лицей № 572,1037825006394
Лицей №572,1037825006394
"№ 572, лицей",1037825006394
"Государственное бюджетное нетиповое образовательное учреждение центр психолого-педагогической, медицинской и социальной помощи Красногвардейского района Санкт-Петербурга ""Школа здоровья и индивидуального развития""",1057812376720
"ГБНОУ ""Школа здоровья и индивидуального развития""",1057812376720
ГОУ ЦЛПиДО,1057812376720
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №525 с углубленным изучением английского языка Московского района Санкт-Петербурга,1027804893071
ГБОУ СОШ №525,1027804893071
ГОУ СОШ №525,1027804893071
Школа № 525,1027804893071
Школа №525,1027804893071
"№ 525, школа",1027804893071
Государственное бюджетное общеобразовательное учреждение гимназия № 70 Петроградского района Санкт-Петербурга,1037828040117
ГБОУ гимназия №70,1037828040117
Гимназия № 70,1037828040117
Гимназия №70,1037828040117
"№ 70, гимназия",1037828040117
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 407 Пушкинского района Санкт-Петербурга,1027809003551
ГБОУ СОШ №407,1027809003551
ГОУ СОШ №407,1027809003551
Школа № 407,1027809003551
Школа №407,1027809003551
"№ 407, школа",1027809003551
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №202 Фрунзенского района Санкт-Петербурга,1027807991518
ГБОУ СОШ №202,1027807991518
ГОУ СОШ №202,1027807991518
Школа № 202,1027807991518
Школа №202,1027807991518
"№ 202, школа",1027807991518
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 97 Выборгского района Санкт-Петербурга,1027801583633
ГБОУ СОШ №097,1027801583633
ГОУ СОШ №097,1027801583633
Школа № 97,1027801583633
Школа №97,1027801583633
"№ 97, школа",1027801583633
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 109 Приморского района Санкт-Петербурга,1027807587917
ГБОУ СОШ №109,1027807587917
ГОУ СОШ №109,1027807587917
Школа № 109,1027807587917
Школа №109,1027807587917
"№ 109, школа",1027807587917
Государственное бюджетное общеобразовательное учреждение Гимназия №261 Кировского района Санкт-Петербурга,1037811001062
ГБОУ гимназия №261,1037811001062
ГОУ гимназия №261,1037811001062
Гимназия № 261,1037811001062
Гимназия №261,1037811001062
"№ 261, гимназия",1037811001062
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 596 с углубленным изучением французского языка Приморского района Санкт-Петербурга,1037832012316
ГБОУ СОШ №596,1037832012316
ГОУ СОШ №596,1037832012316
Школа № 596,1037832012316
Школа №596,1037832012316
"№ 596, школа",1037832012316
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 585 Кировского района Санкт-Петербурга,1027802754440
ГБОУ СОШ №585,1027802754440
ГОУ СОШ №585,1027802754440
Школа № 585,1027802754440
Школа №585,1027802754440
"№ 585, школа",1027802754440
Государственное бюджетное общеобразовательное учреждение общеобразовательная школа № 220 Калининского района Санкт-Петербурга,1177847375562
ГБОУ ОШ №220,1177847375562
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 111 с углубленным изучением немецкого языка Калининского района Санкт-Петербурга,1027802496578
ГБОУ СОШ №111,1027802496578
Школа № 111,1027802496578
Школа №111,1027802496578
"№ 111, школа",1027802496578
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №182 Красногвардейского района Санкт-Петербурга,1037816037775
ГБОУ СОШ №182,1037816037775
ГОУ СОШ №182,1037816037775
Школа № 182,1037816037775
Школа №182,1037816037775
"№ 182, школа",1037816037775
"Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №189 ""Шанс"" Центрального района Санкт-Петербурга",1037843029025
ГБОУ СОШ №189,1037843029025
"ГОУ СОШ №189 ""Шанс""",1037843029025
Школа № 189,1037843029025
Школа №189,1037843029025
"№ 189, школа",1037843029025
Государственное бюджетное общеобразовательное учреждение гимназия №330 Невского района Санкт-Петербурга,1037825013148
ГБОУ гимназия №330,1037825013148
ГОУ гимназия №330,1037825013148
Гимназия № 330,1037825013148
Гимназия №330,1037825013148
"№ 330, гимназия",1037825013148
Государственное бюджетное общеобразовательное учреждение гимназия № 74 Выборгского района Санкт-Петербурга,1027801583380
ГБОУ гимназия №074,1027801583380
ГОУ гимназия №074,1027801583380
Гимназия № 74,1027801583380
Гимназия №74,1027801583380
"№ 74, гимназия",1027801583380
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 274 с углубленным изучением иностранных языков Кировского района Санкт-Петербурга,1027802742747
ГБОУ СОШ №274,1027802742747
ГОУ СОШ №274,1027802742747
Школа № 274,1027802742747
Школа №274,1027802742747
"№ 274, школа",1027802742747
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 133 с углубленным изучением иностранных языков Красногвардейского района Санкт-Петербурга,1037816030966
ГБОУ СОШ №133,1037816030966
ГОУ СОШ №133(франц),1037816030966
Школа № 133,1037816030966
Школа №133,1037816030966
"№ 133, школа",1037816030966
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №323 Невского района Санкт-Петербурга,1037825013820
ГБОУ СОШ №323,1037825013820
ГОУ СОШ №323,1037825013820
Школа № 323,1037825013820
Школа №323,1037825013820
"№ 323, школа",1037825013820
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №124 с углубленным изучением английского языка Выборгского района Санкт-Петербурга,1027801583424
ГБОУ СОШ №124,1027801583424
ГОУ СОШ №124,1027801583424
Школа № 124,1027801583424
Школа №124,1027801583424
"№ 124, школа",1027801583424
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 234 Адмиралтейского района Санкт-Петербурга,1027810334353
ГБОУ школа №234,1027810334353
ГОУ СОШ №234,1027810334353
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 557 Невского района Санкт-Петербурга,1037825032420
ГБОУ СОШ №557,1037825032420
ГОУ СОШ №557,1037825032420
Школа № 557,1037825032420
Школа №557,1037825032420
"№ 557, школа",1037825032420
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №322 Фрунзенского района Санкт-Петербурга,1037835048041
ГБОУ СОШ №322,1037835048041
ГОУ СОШ №322,1037835048041
Школа № 322,1037835048041
Школа №322,1037835048041
"№ 322, школа",1037835048041
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №425 имени академика П.Л.Капицы Кронштадтского района Санкт-Петербурга,1027808867350
ГБОУ СОШ №425,1027808867350
ГОУ СОШ №425,1027808867350
Школа № 425,1027808867350
Школа №425,1027808867350
"№ 425, школа",1027808867350
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №19 Василеостровского района Санкт-Петербурга,1037800021380
ГБОУ СОШ №19,1037800021380
ГОУ СОШ №19,1037800021380
Школа № 19,1037800021380
Школа №19,1037800021380
"№ 19, школа",1037800021380
Государственное бюджетное общеобразовательное учреждение гимназия № 148 имени Сервантеса Калининского района Санкт-Петербурга,1027802499306
ГБОУ гимназия №148,1027802499306
ГОУ гимназия №148,1027802499306
Гимназия № 148,1027802499306
Гимназия №148,1027802499306
"№ 148, гимназия",1027802499306
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 535 Калининского района Санкт-Петербурга,1027802500725
ГБОУ СОШ №535,1027802500725
ГОУ СОШ №535,1027802500725
Школа № 535,1027802500725
Школа №535,1027802500725
"№ 535, школа",1027802500725
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 523 Колпинского района Санкт-Петербурга,1027808757701
ГБОУ СОШ №523,1027808757701
ГОУ СОШ №523,1027808757701
Школа № 523,1027808757701
Школа №523,1027808757701
"№ 523, школа",1027808757701
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 356 с углубленным изучением немецкого и английского языков Московского района Санкт-Петербурга,1037821001327
ГБОУ СОШ №356,1037821001327
ГОУ СОШ №356,1037821001327
Школа № 356,1037821001327
Школа №356,1037821001327
"№ 356, школа",1037821001327
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 48 Приморского района Санкт-Петербурга,1027807587862
ГБОУ СОШ №48,1027807587862
ГОУ СОШ №48,1027807587862
Школа № 48,1027807587862
Школа №48,1027807587862
"№ 48, школа",1027807587862
Государственное бюджетное общеобразовательное учреждение школа №645 Пушкинского района Санкт-Петербурга,1147847198091
ГБОУ СОШ №645,1147847198091
Школа № 645,1147847198091
Школа №645,1147847198091
