name,ogrn
Школа №46,1027807584133
Школа №461,1027808758669
Школа №462,1027809003573
Школа №463,1027801582929
Школа №464,1027809003529
Школа №466,1027812403740
Школа №467,1027808757492
Школа №468,1027801582930
Школа №469,1027801582940
Школа №47  имени Д.С. Лихачева ,1037828004367
Школа №471,1027801582951
Школа №472 имени дважды Героя Советского Союза А.Т.Карпова,1027801582962
Школа №473,1027802499218
Школа №474,1027801582973
Школа №475,1027801582984
Школа №476,1027808758383
Школа №477,1027809003496
Школа №48,1027807587862
Школа №481,1027802769708
Школа №482,1157847088640
Школа №483,1027801582995
Школа №484,1027804895194
Школа №485,1027804895150
Школа №489,1027804903466
Школа №490,1027804187894
Школа №491,1037816037797
Школа №493,1027802737599
Школа №494,1027801583787
Школа №495,1037821003956
Школа №496,1027804899209
Школа №497,1027806074790
Школа №5,1027800543407
Школа №50,1037828004389
Школа №500,1027809003518
Школа №501,1027802737863
Школа №503,1027802739557
Школа №504,1027802767300
Школа №506,1027802737885
Школа №507,1027804894260
Школа №508,1027804895030
Школа №509,1147847543084
Школа №51,1037828004411
Школа №510,1037821022084
Школа №511,1117847398338
Школа №512,1037825002049
Школа №514,1027802499163
Школа №515 имени Иоганна Вольфганга Гёте (Гётешуле),1037816019317
Школа №516,1027806070050
Школа №517,1027801583765
Школа №518,1027801583754
Школа №519,1037821020159
Школа №520,1027808757833
Школа №521,1037816001706
Школа №523,1027808757701
Школа №525,1027804893071
Школа №527,1037825015865
Школа №529,1027808912560
Школа №53,1027807585607
Школа №530,1027809002968
Школа №531,1097847194939
Школа №532,1037816029460
Школа №534  имени Героя России Тимура Сиразетдинова,1027801583732
Школа №535,1027802500725
Школа №536 имени Т.И.Гончаровой ,1037821046273
Школа №537,1027804895029
Школа №538,1027802740998
Школа №539,1027802741988
Школа №541,1027812401539
Школа №542,1027808913373
Школа №543,1027804892939
Школа №544,1027804894270
Школа №545,1117847290824
Школа №546,1027804606191
Школа №547,1147847043717
Школа №548,1027804607995
Школа №549,1027804604541
Школа №55,1027806891419
"Школа №550 ""Школа информационных технологий""",1037843000898
Школа №551,1027802730592
Школа №552,1027809003639
Школа №553,1027807992728
Школа №555,1027807573200
Школа №556,1027812406280
Школа №557,1037825032420
Школа №558,1027801583721
Школа №559,1027801583700
Школа №560,1027801583710
Школа №562,1027804182471
Школа №564,1027810242910
Школа №567,1027808913043
Школа №568,1027804602000
Школа №569,1027806075736
Школа №570,1027806075296
Школа №571,1027806079927
Школа №574,1027806082094
Школа №577,1027804187916
Школа №578,1027807586234
Школа №579,1027807570790
Школа №58,1027807588082
Школа №580,1027807574827
Школа №581,1027807593703
Школа №582,1037832008466
Школа №583,1037832007740
Школа №585,1027802754440
Школа №588,1027808758262
Школа №589,1027808758229
Школа №591,1037825007131
Школа №592,1027806075912
Школа №593,1027806068971
Школа №594,1037821044117
Школа №595,1027807582461
Школа №596,1037832012316
Школа №598,1027807586586
Школа №599,1027807587323
Школа №6,1037800013789
Школа №60,1027801583336
Школа №600,1027807585948
Школа №601,1027807586091
Школа №602,1027808918752
Школа №603,1037835045258
Школа №604,1147847199202
Школа №605,1027801583897
Школа №606,1027809003606
Школа №608,1027802753880
Школа №612,1037843060408
Школа №617,1027807587895
Школа №618,1027807584023
Школа №619,1027802506071
Школа №62,1027801583358
Школа №621,1027808757844
Школа №625  имени Героя Российской Федерации В.Е.Дудкина,1037825003743
Школа №630,1107847247694
Школа №634,1027807573925
Школа №635,1027807585300
Школа №636,1027809255077
Школа №638,1027809007380
Школа №639,1037825004711
Школа №640,1027807586740
Школа №641,1027806066078
Школа №643,1027804895073
Школа №644,1027807581493
Школа №645,1147847198091
Школа №65,1027801583369
Школа №653,1027802497447
Школа №654,1027802748665
Школа №655,1099847000527
