spb_id	name
1027804894281	Лицей №373 "Экономический лицей"
1037811024349	Лицей №378
1027802741185	Лицей №384
1027802738590	Лицей №387 имени Н.В.Белоусова
1027802749490	Лицей №389 «Центр экологического образования»
1027802737819	Лицей №393
1027804602715	Лицей №395
1027809007940	Лицей №408
1027809003507	Лицей №410
1027808913142	Лицей №419
1027812404971	Лицей №445
1027802497304	Лицей №470
1027801583006	Лицей №486
1027801583820	Лицей №488
1027804182560	Лицей №533 "Образовательный комплекс "Малая Охта"
1027807593758	лицей №554
1037825006394	Лицей №572
1027804599965	Лицей №590
1027807577467	Лицей №597
1027801583908	Лицей №623 имени Ивана Петровича Павлова
1027807581460	Лицей №64
1037828005709	Лицей №82
1027802499141	Лицей №95
1027804895051	Морская школа
1027808914704	Петергофская гимназия императора Александра II
1037843076005	Российская гимназия при Государственном Русском музее
1037843012790	Школа «Тутти»
1027804605652	Школа № 382
1027807587389	Школа № 57
1027802497250	Школа № 68
1027802496809	Школа № 69
1027801583644	Школа №094
1037821026429	Школа №1
1027800546795	Школа №10
1027801583600	Школа №102
1027801583590	Школа №103
1027801583589	Школа №104 имени Героя Советского Союза М.С.Харченко
1027807578765	Школа №106
1027807587917	Школа №109
1027801583534	Школа №110
1027802496578	Школа №111
1027801583512	Школа №112
1027807583187	Школа №113
1027801583490	Школа №115
1027801583479	Школа №117
1027801583468	Школа №118
1027802497282	Школа №119
1027800541735	Школа №12
1027801583457	Школа №120
1027802499020	Школа №121
1027809241118	Школа №122
1027801583446	Школа №123
1027801583424	Школа №124
1037816037753	Школа №125
1037816030890	Школа №127
1027802496930	Школа №128
1037816030922	Школа №129
1037825019594	Школа №13
1037816030966	Школа №133
1037816004335	Школа №134 имени Сергея Дудко
1027801583413	Школа №135
1027802496501	Школа №136
1027802499340	Школа №137
1027802499350	Школа №138 имени Святого благоверного князя Александра Невского
1027802496732	Школа №139
1037825019616	Школа №14
1037816055518	Школа №140
1037816029393	Школа №141
1037816031000	Школа №143
1027802521262	Школа №145
1027802497909	Школа №146
1037816003664	Школа №147
1027802499152	Школа №149
1037800017584	Школа №15
1027804182581	Школа №151
1037816029426	Школа №152
1027809254593	Школа №153
1027807992761	Школа №153
1027802499339	Школа №156
1027802499120	Школа №158
1037800017518	Школа №16
1027804187971	Школа №160
1027802496776	Школа №162
1037843047912	Школа №163
1027804188015	Школа №164
1027809226653	Школа №167
1027809243571	Школа №169
1037800062585	Школа №17
1027802499944	Школа №172
1037843012866	Школа №174
1027802499328	Школа №175
1027802496765	Школа №176
1037843005881	Школа №178
1037800007211	Школа №18
1027804197398	Школа №180
1037843011205	Школа №181
1037816037775	Школа №182
1037843002691	Школа №183
1027802499295	Школа №184
1027809246046	Школа №185
1027802497557	Школа №186
2047811005064	Школа №187
1037816002950	Школа №188
1037843029025	Школа №189 "Шанс"
1037800021380	Школа №19
1037816031032	Школа №191
1037843019169	Школа №193
1037816029492	Школа №195
1027809251931	Школа №197
1027800547610	Школа №2
1027806069543	Школа №20
1027804605135	Школа №200
1037835013974	Школа №201
1027807991518	Школа №202
1027809215829	Школа №204
1037843021446	Школа №206
1027809255891	Школа №207
1027804603562	Школа №208
1037800018695	Школа №21 им. Э.П.Шаффе
1037843005441	Школа №210
1027809245860	Школа №211
1037835020079	Школа №212
1027808013310	Школа №213
1027807992706	Школа №215
1027809223518	Школа №216
1027804605861	Школа №217 имени Н.А.Алексеева
1037835006087	Школа №218
1027802757608	Школа №221
1027809249049	Школа №222 "ПЕТРИШУЛЕ"
1027802739997	Школа №223
1027810349368	Школа №225
1027810356221	Школа №229
1027806084987	Школа №23
1027807991331	Школа №230
1027810291189	Школа №232
1027804187950	Школа №233
1027810334353	Школа №234
1037851004091	Школа №235 им. Д.Д. Шостаковича
1027807992772	Школа №236
1027804603650	Школа №237
1027810344100	Школа №238
1027802740459	Школа №240
1027810295237	Школа №241
1027804606246	Школа №242
1037851014233	Школа №243
1027810299021	Школа №245
5067847266328	Школа №246
1027804602980	Школа №247
1027802725610	Школа №249 имени М.В. Маневича
1027802740635	Школа №250
1027802735960	Школа №251
1027804600548	Школа №252
1037832053665	Школа №253 имени капитана 1-го ранга П.И. Державина
1027802726050	Школа №254
1027810345310	Школа №255
1027810346717	Школа №256
1137847052419	Школа №257
1027808757899	Школа №258
1027810317590	Школа №259
1037825019650	Школа №26
1027810291541	Школа №260
1027804604002	Школа №262
1027810346211	Школа №263
1037811059494	Школа №264
1027810301606	Школа №266
1027806079201	Школа №268
1027802734926	Школа №269 "Школа здоровья"
1037800017243	Школа №27
1027804603420	Школа №270 имени А.Е. Березанского
1027802742747	Школа №274
1027804601912	Школа №275
1027804601990	Школа №276
1027802735993	Школа №277
1037851014167	Школа №280 имени М.Ю. Лермонтова
1027802730603	Школа №282
1027802739470	Школа №283
1027804605696	Школа №285
1027810340447	Школа №287
1027810345309	Школа №288
1037800021379	Школа №29
7077847159086	Школа №290
1117847239839	Школа №291
1027807992453	Школа №292
1037843091208	Школа №294
1027807992794	Школа №296
1027809003530	Школа №297
1027807997250	Школа №298
1037835006318	Школа №301
1037835019012	Школа №302
1027807992850	Школа №303 имени Фридриха Шиллера
1027809256617	Школа №304
1027807997557	Школа №305
1027810332307	Школа №306
1027810301243	Школа №307
1037843003428	Школа №308
1027809237246	Школа №309
1037800017969	Школа №31
1037835036546	Школа №310 "Слово"
1027808012715	Школа №311
1037835052331	Школа №312
1027807991573	Школа №313
1037835036458	Школа №314
1027809003562	Школа №315
1027807992838	Школа №316
1027810305533	Школа №317
1027807992937	Школа №318
1027808913230	Школа №319
1097847218468	Школа №320
1037843044601	Школа №321
1037835048041	Школа №322
1037825013820	Школа №323
1027812402386	Школа №324
1027807992981	Школа №325
1037825005096	Школа №326
1027806070038	Школа №327
1027806071457	Школа №328
1027806080367	Школа №331
1037825017603	Школа №332
1037825019506	Школа №333
1037825019891	Школа №334
1089847102817	Школа №335
1037825012235	Школа №336
1037825012499	Школа №337
1037825018296	Школа №338
1037825019693	Школа №339
1037825021453	Школа №340
1027806072678	Школа №341
1027806085999	Школа №342
1037825012202	Школа №345
1027806078343	Школа №346
1037825002368	Школа №347
1027806074768	Школа №348
1027804187927	Школа №349
1037800050276	Школа №35
1037825011586	Школа №350
1027804892500	Школа №351
1027804601934	Школа №352
1037821014428	Школа №353
1037821022040	Школа №354
1027804894292	Школа №355
1037821001327	Школа №356
1027804892345	Школа №358
1037835013853	Школа №359
1027807992200	Школа №360
1037821003769	Школа №362
1027807992783	Школа №364
1027807992827	Школа №365
1037835054575	Школа №367
1037835024589	Школа №368
1027804892906	Школа №371
1027804895128	Школа №372
1027804605080	Школа №375
1137847313009	Школа №376
1027802730614	Школа №377
1027802738985	Школа №379
1027807570482	Школа №38
1027804601131	Школа №380
1027802728018	Школа №381
1027804600526	Школа №383
1027804607577	Школа №385
1037811007893	Школа №386
1027802749248	Школа №388
1037825009133	Школа №39
1027804603672	Школа №390
1027804604255	Школа №391
1027802749204	Школа №392
1027804604156	Школа №394
1027804600713	Школа №398
1027800560303	Школа №4 имени Жака-Ива Кусто
1027808757602	Школа №400 имени Александра Невского
1027808757371	Школа №401
1027809003540	Школа №403
1027808758372	Школа №404
1027809003551	Школа №407
1027809003584	Школа №409
1027808914121	Школа №411 "Гармония"
1027808913318	Школа №412
1027808913330	Школа №413
1027804605443	Школа №414
1027808913109	Школа №416 "Школа развития личности имени Веры Васильевны Павловой"
1027808913120	Школа №417
1027808866580	Школа №418
1027808757393	Школа №420
1027808913175	Школа №421
1027808867052	Школа №422
1027808867041	Школа №423
1027808867350	Школа №425 имени академика П.Л.Капицы
1027808867118	Школа №427
1037841003980	Школа №429
1027807587609	Школа №43 "Лингвистическая Школа"
1027808914210	Школа №430
1027812404553	Школа №435
1027808916343	Школа №436
1027807587301	Школа №438
1027807584276	Школа №44
1027807591459	Школа №440
1027812406126	Школа №442
1027807992190	Школа №443
1027807991452	Школа №444
1027812405422	Школа №447
1027807991589	Школа №448
1027807568392	Школа №45
1027812404663	Школа №450
1027808757866	Школа №451
1027801583556	Школа №453 имени Сергея Жукова
1027808758647	Школа №454
1027808757877	Школа №455
1027808758196	Школа №456
1027801582820	Школа №457
1037825008055	Школа №458
1027809003617	Школа №459
1027807584133	Школа №46
1027808758669	Школа №461
1027809003573	Школа №462
1027801582929	Школа №463
1027809003529	Школа №464
1027812403740	Школа №466
1027808757492	Школа №467
1027801582930	Школа №468
1027801582940	Школа №469
1037828004367	Школа №47 имени Д.С. Лихачева
1027801582951	Школа №471
1027801582962	Школа №472 имени дважды Героя Советского Союза А.Т.Карпова
1027802499218	Школа №473
1027801582973	Школа №474
1027801582984	Школа №475
1027808758383	Школа №476
1027809003496	Школа №477
1027807587862	Школа №48
1027802769708	Школа №481
1157847088640	Школа №482
1027801582995	Школа №483
1027804895194	Школа №484
1027804895150	Школа №485
1027804903466	Школа №489
1027804187894	Школа №490
1037816037797	Школа №491
1027802737599	Школа №493
1027801583787	Школа №494
1037821003956	Школа №495
1027804899209	Школа №496
1027806074790	Школа №497
1027800543407	Школа №5
1037828004389	Школа №50
1027809003518	Школа №500
1027802737863	Школа №501
1027802739557	Школа №503
1027802767300	Школа №504
1027802737885	Школа №506
1027804894260	Школа №507
1027804895030	Школа №508
1147847543084	Школа №509
1037828004411	Школа №51
1037821022084	Школа №510
1117847398338	Школа №511
1037825002049	Школа №512
1027802499163	Школа №514
1037816019317	Школа №515 имени Иоганна Вольфганга Гёте (Гётешуле)
1027806070050	Школа №516
1027801583765	Школа №517
1027801583754	Школа №518
1037821020159	Школа №519
1027808757833	Школа №520
1037816001706	Школа №521
1027808757701	Школа №523
1027804893071	Школа №525
1037825015865	Школа №527
1027808912560	Школа №529
1027807585607	Школа №53
1027809002968	Школа №530
1097847194939	Школа №531
1037816029460	Школа №532
1027801583732	Школа №534 имени Героя России Тимура Сиразетдинова
1027802500725	Школа №535
1037821046273	Школа №536 имени Т.И.Гончаровой
1027804895029	Школа №537
1027802740998	Школа №538
1027802741988	Школа №539
1027812401539	Школа №541
1027808913373	Школа №542
1027804892939	Школа №543
1027804894270	Школа №544
1117847290824	Школа №545
1027804606191	Школа №546
1147847043717	Школа №547
1027804607995	Школа №548
1027804604541	Школа №549
1027806891419	Школа №55
1037843000898	Школа №550 "Школа информационных технологий"
1027802730592	Школа №551
1027809003639	Школа №552
1027807992728	Школа №553
1027807573200	Школа №555
1027812406280	Школа №556
1037825032420	Школа №557
1027801583721	Школа №558
1027801583700	Школа №559
1027801583710	Школа №560
1027804182471	Школа №562
1027810242910	Школа №564
1027808913043	Школа №567
1027804602000	Школа №568
1027806075736	Школа №569
1027806075296	Школа №570
1027806079927	Школа №571
1027806082094	Школа №574
1027804187916	Школа №577
1027807586234	Школа №578
1027807570790	Школа №579
1027807588082	Школа №58
1027807574827	Школа №580
1027807593703	Школа №581
1037832008466	Школа №582
1037832007740	Школа №583
1027802754440	Школа №585
1027808758262	Школа №588
1027808758229	Школа №589
1037825007131	Школа №591
1027806075912	Школа №592
1027806068971	Школа №593
1037821044117	Школа №594
1027807582461	Школа №595
1037832012316	Школа №596
1027807586586	Школа №598
1027807587323	Школа №599
1037800013789	Школа №6
1027801583336	Школа №60
1027807585948	Школа №600
1027807586091	Школа №601
1027808918752	Школа №602
1037835045258	Школа №603
1147847199202	Школа №604
1027801583897	Школа №605
1027809003606	Школа №606
1027802753880	Школа №608
1037843060408	Школа №612
1027807587895	Школа №617
1027807584023	Школа №618
1027802506071	Школа №619
1027801583358	Школа №62
1027808757844	Школа №621
1037825003743	Школа №625 имени Героя Российской Федерации В.Е.Дудкина
1107847247694	Школа №630
1027807573925	Школа №634
1027807585300	Школа №635
1027809255077	Школа №636
1027809007380	Школа №638
1037825004711	Школа №639
1027807586740	Школа №640
1027806066078	Школа №641
1027804895073	Школа №643
1027807581493	Школа №644
1147847198091	Школа №645
1027801583369	Школа №65
1027802497447	Школа №653
1027802748665	Школа №654
1099847000527	Школа №655
1027802749402	Школа №658
1027807583132	Школа №661
1037825016316	Школа №667
1027807585024	Школа №683
1117847367164	Школа №684 "Берегиня"
1027807590150	Школа №688
1027802498877	Школа №692
1027809005850	Школа №695 "Радуга"
1027800560358	Школа №700
1027802496523	Школа №71
1027802497260	Школа №72
1037828005775	Школа №75
1027801583391	Школа №76
1037828001166	Школа №77
1027802496919	Школа №78
1027802496590	Школа №79
1027807997051	Школа №8 "Музыка"
1027806887668	Школа №80
1027802499207	Школа №81
1027801583688	Школа №83
1027806887371	Школа №84
1027806892827	Школа №86
1037828001683	Школа №87
1027802499185	Школа №88
1027802496810	Школа №89
1027801583677	Школа №90
1037828002739	Школа №91
1147847205681	Школа №93
1027802499372	Школа №96
1027801583633	Школа №97
1027802496842	Школа №98
1000000000001	Академическая гимназия имени Д. К. Фаддеева СПбГУ
1000000000002	Естественно-научный лицей СПбПУ
	
