name,href,id,area,city_olymp,ege,oge,folk_rating,specialisation,url_id,phones,url,globalid,detector
Школа народного искусства Императрицы Александры Федоровны (ШНИ),../../hudozhestvenno-esteticheskoe-obrazovanie/shkola-narodnogo-iskusstva-imperatritsyi-aleksandryi-fedorovnyi/index.html,a37,admiraltejskij,1,56.7,"",0,Художественно-эстетическое образование|Частная школа,../data/shkola-spb.ru/cache/hudozhestvennoesteticheskoeobrazovanieshkolanarodnogoiskusstvaimperatritsyialeksandryifedorovnyiindexhtml.htm,8127140938|8127143040,empresschool.ru,2d894f2bc453df41426b4ca93d98b5f7,not_detected
Средняя специальная музыкальная школа имени Н. А. Римского-Корсакова (ССМШ),../../hudozhestvenno-esteticheskoe-obrazovanie/srednyaya-spetsialnaya-muzyikalnaya-shkola-spb-gosudarstvennoj-konservatorii-im-n-a-rimskogo-korsakova-kolledzh/index.html,a1,admiraltejskij,"",56.6,"",0,Художественно-эстетическое образование,../data/shkola-spb.ru/cache/hudozhestvennoesteticheskoeobrazovaniesrednyayaspetsialnayamuzyikalnayashkolaspbgosudarstvennojkonservatoriiimnarimskogokorsakovakolledzhindexhtml.htm,8127141161,x-letka.conservatory.ru,3fb8d2935dff42c558ac9370b2beebee,not_detected
"№ 232, школа",../../sredneobrazovatelnaya-shkola/232-shkola/index.html,a6,admiraltejskij,6,56.4,3.8,5.7,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola232shkolaindexhtml.htm,8127141943|8127145350,www.232spb.ru,ac98fece9ca96c025960968c96344a0c,select_exactly
"№ 234, школа",../../sredneobrazovatelnaya-shkola/234-shkola/index.html,a7,admiraltejskij,1,56.2,3.6,6.0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola234shkolaindexhtml.htm,8127142752|8127142353|8127145144,sc.adm-edu.spb.ru/234,8d2e426ead4679ef22cc6d3a80f98cf3,select_by_number
Суворовское военное училище МО РФ (СВУ),../../voennoe-uchilische/suvorovskoe-voennoe-uchilische/index.html,a739,admiraltejskij,"",55.7,4.0,5.0,Кадетские классы,../data/shkola-spb.ru/cache/voennoeuchilischesuvorovskoevoennoeuchilischeindexhtml.htm,8123102406,spbsvu.ru,b0f323b8caf46d03aa58b657e6c4dc23,not_detected
"№ 266, школа с углубленным изучением французского языка",../../frantsuzskij-yazyik/266-shkola-s-uglublennyim-izucheniem-frantsuzskogo-yazyika/index.html,a18,admiraltejskij,"",55.5,3.8,7.5,Французский язык,../data/shkola-spb.ru/cache/frantsuzskijyazyik266shkolasuglublennyimizucheniemfrantsuzskogoyazyikaindexhtml.htm,8123160865|8125750405,school266spb.edurf.ru,bc8570a3aadd9f297dc05c0a1b24527a,select_by_number
"№ 243, школа",../../sredneobrazovatelnaya-shkola/243-shkola/index.html,a11,admiraltejskij,1,54.7,3.5,5.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola243shkolaindexhtml.htm,8125702841,www.spb243.ru,1c90796d7b58027f35f3b020bf917bf5,select_exactly
"№ 286, школа (классы ЛНМО)",../../sredneobrazovatelnaya-shkola/286-shkola/index.html,a24,admiraltejskij,6,54.4,3.8,9.1,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola286shkolaindexhtml.htm,8122511440,school286.ru,b7d74172f1a5c40bacecaf4ea7946de2,not_detected
"№ 229, школа",../../sredneobrazovatelnaya-shkola/229-litsej/index.html,a5,admiraltejskij,1,53.8,3.5,4.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola229litsejindexhtml.htm,8123106869|8123106692,www.licey229.ru,4b2878e079afe2ec96355c887cb3fa10,select_exactly
"№ 241, школа",../../sredneobrazovatelnaya-shkola/241-shkola/index.html,a10,admiraltejskij,1,53.4,3.7,6.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola241shkolaindexhtml.htm,8123149380|8123148842,https://sites.google.com/site/skola241,f654aa86af07b08bc56be944b946749d,select_exactly
