name,href,id,area
ФРАНЦУЗСКАЯ ШКОЛА АНДРЭ МАЛЬРО в СПб,../../frantsuzskij-yazyik/frantsuzskaya-shkola-andre-malro-v-spb/index.html,a501,admiraltejskij
"№ 2, речевая школа-интернат",../../deti-s-osobennostyami-razvitiya/2-rechevaya-shkola-internat/index.html,a773,admiraltejskij
"№ 5,  коррекционная школа (V вида) для детей с нарушениями речи",../../deti-s-osobennostyami-razvitiya/5-korrektsionnaya-shkola-v-vida-dlya-detej-s-narusheniyami-rechi/index.html,a777,admiraltejskij
"№ 522, коррекционная школа (VII  вида)",../../deti-s-osobennostyami-razvitiya/-522-korrektsionnaya-shkola-vii-vida/index.html,a1094,admiraltejskij
"№ 231, специальная (коррекционная) школа (VIII вида)",../../deti-s-osobennostyami-razvitiya/-231-spetsialnaya-korrektsionnaya-shkola-viii-vida/index.html,a1097,admiraltejskij
"№ 30, физико-математический лицей",../../matematika/30-fiziko-matematicheskij-litsej/index.html,a63,vasileostrovskij
Академическая гимназия СПбГУ,../../biologiya/akademicheskaya-gimnaziya-sankt-peterburgskogo-gosudarstvennogo-universiteta-43/index.html,a43,vasileostrovskij
"№ 4, школа им. Жака-Ива Кусто с углубленным изучением французского языка",../../frantsuzskij-yazyik/4-shkola-im-zhaka-iva-kusto-s-uglublennyim-izucheniem-frantsuzskogo-yazyika/index.html,a46,vasileostrovskij
"№ 24, гимназия им. И. А. Крылова",../../sredneobrazovatelnaya-shkola/24-gimnaziya-im-i-a-kryilova/index.html,a59,vasileostrovskij
"№ 586, гимназия",../../sredneobrazovatelnaya-shkola/586-gimnaziya/index.html,a69,vasileostrovskij
"№ 18, школа с углубленным изучением математики",../../matematika/18-shkola-s-uglublennyim-izucheniem-matematiki/index.html,a56,vasileostrovskij
"№ 12, школа с углубленным изучением английского языка",../../anglijskij-yazyik/12-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a52,vasileostrovskij
"№ 31, школа с углубленным изучением английского языка",../../anglijskij-yazyik/31-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a64,vasileostrovskij
"№ 11, гимназия с углубленным изучением английского языка",../../anglijskij-yazyik/11-gimnaziya-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a51,vasileostrovskij
