name,id
"№ 206, школа",f48343d471d2fa11e8105033299f707c
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №79 Калининского района Санкт-Петербурга,1320fa345933943cd323cd866eb5f3fa
ГБОУ СОШ №79,1320fa345933943cd323cd866eb5f3fa
Школа № 79,1320fa345933943cd323cd866eb5f3fa
Школа №79,1320fa345933943cd323cd866eb5f3fa
"№ 79, школа",1320fa345933943cd323cd866eb5f3fa
Государственное бюджетное общеобразовательное учреждение Центр образования № 173 Петроградского района Санкт-Петербурга,73d9bd7372047ed6ed16f76a20288f63
ГБОУ ЦО №173,73d9bd7372047ed6ed16f76a20288f63
ГОУ ЦО №173,73d9bd7372047ed6ed16f76a20288f63
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 595 Приморского района Санкт-Петербурга,77f83f04f0c28a462ab1044ff787e791
ГБОУ СОШ №595,77f83f04f0c28a462ab1044ff787e791
ГОУ СОШ №595,77f83f04f0c28a462ab1044ff787e791
Школа № 595,77f83f04f0c28a462ab1044ff787e791
Школа №595,77f83f04f0c28a462ab1044ff787e791
"№ 595, школа",77f83f04f0c28a462ab1044ff787e791
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №421 Петродворцового района Санкт-Петербурга,1cf2e01dea638cf8d458a184122d2663
ГБОУ СОШ №421,1cf2e01dea638cf8d458a184122d2663
ГОУ СОШ № 421,1cf2e01dea638cf8d458a184122d2663
Школа № 421,1cf2e01dea638cf8d458a184122d2663
Школа №421,1cf2e01dea638cf8d458a184122d2663
"№ 421, школа",1cf2e01dea638cf8d458a184122d2663
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 250 Кировского района Санкт-Петербурга,bed1afcb9452c5ffd2c725398fc4f86c
ГБОУ СОШ №250,bed1afcb9452c5ffd2c725398fc4f86c
ГОУ СОШ №250,bed1afcb9452c5ffd2c725398fc4f86c
Школа № 250,bed1afcb9452c5ffd2c725398fc4f86c
Школа №250,bed1afcb9452c5ffd2c725398fc4f86c
"№ 250, школа",bed1afcb9452c5ffd2c725398fc4f86c
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 602 Петродворцового района Санкт-Петербурга,1020020c2d985fedd5faec7352283316
ГБОУ CОШ №602,1020020c2d985fedd5faec7352283316
ГОУ СОШ № 602,1020020c2d985fedd5faec7352283316
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 55 Петроградского района Санкт-Петербурга,a54427f7ca0206d71fefac5d9e0cce87
ГБОУ СОШ №55,a54427f7ca0206d71fefac5d9e0cce87
ГОУ СОШ №55 дошкольное отделение,a54427f7ca0206d71fefac5d9e0cce87
Школа № 55,a54427f7ca0206d71fefac5d9e0cce87
Школа №55,a54427f7ca0206d71fefac5d9e0cce87
"№ 55, школа",a54427f7ca0206d71fefac5d9e0cce87
Государственное бюджетное общеобразовательное учреждение центр образования № 162 Кировского района Санкт-Петербурга,1b02af6b10f87e68775154d3a0c928f1
ГБОУ ЦО №162,1b02af6b10f87e68775154d3a0c928f1
ГОУ ЦО №162,1b02af6b10f87e68775154d3a0c928f1
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №65 с углублённым изучением французского языка Выборгского района Санкт-Петербурга,e56082ce54e19f86f8528d23fbfc55bc
ГБОУ СОШ №065,e56082ce54e19f86f8528d23fbfc55bc
ГОУ СОШ №065,e56082ce54e19f86f8528d23fbfc55bc
Школа № 65,e56082ce54e19f86f8528d23fbfc55bc
Школа №65,e56082ce54e19f86f8528d23fbfc55bc
"№ 65, школа",e56082ce54e19f86f8528d23fbfc55bc
"Государственное бюджетное общеобразовательное учреждение Гимназия № 610 Петроградского района Санкт-Петербурга ""САНКТ-ПЕТЕРБУРГСКАЯ КЛАССИЧЕСКАЯ ГИМНАЗИЯ""",7b17cf1477a7b68cd7bfdc6cc4750d98
ГБОУ Гимназия №610,7b17cf1477a7b68cd7bfdc6cc4750d98
ГОУ Гимназия №610,7b17cf1477a7b68cd7bfdc6cc4750d98
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 376 Московского района Санкт-Петербурга,9c10cc32c4cacaa3db6d87afdf651251
ГБОУ СОШ №376,9c10cc32c4cacaa3db6d87afdf651251
Школа № 376,9c10cc32c4cacaa3db6d87afdf651251
Школа №376,9c10cc32c4cacaa3db6d87afdf651251
"№ 376, школа",9c10cc32c4cacaa3db6d87afdf651251
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 156 с углубленным изучением информатики Калининского района Санкт-Петербурга,e7d71bb9122399ed7b36a2fed38ea9b8
ГБОУ СОШ №156,e7d71bb9122399ed7b36a2fed38ea9b8
ГОУ СОШ №156,e7d71bb9122399ed7b36a2fed38ea9b8
Школа № 156,e7d71bb9122399ed7b36a2fed38ea9b8
Школа №156,e7d71bb9122399ed7b36a2fed38ea9b8
"№ 156, школа",e7d71bb9122399ed7b36a2fed38ea9b8
Государственное бюджетное общеобразовательное учреждение школа №153 Фрунзенского района Санкт-Петербурга,60d744c8b4486e1f7b33828e345179a7
ГБОУ СОШ №153,60d744c8b4486e1f7b33828e345179a7
ГОУ ВСОШ №153,60d744c8b4486e1f7b33828e345179a7
Школа № 153,60d744c8b4486e1f7b33828e345179a7
Школа №153,60d744c8b4486e1f7b33828e345179a7
"№ 153, школа",60d744c8b4486e1f7b33828e345179a7
Государственное бюджетное общеобразовательное учреждение школа-интернат № 2 Адмиралтейского района Санкт-Петербурга,0337e392c55e7f41e91a18d6e0e9f3a1
ГБС(К) ОУ инт №2,0337e392c55e7f41e91a18d6e0e9f3a1
ГОУ СК №2 инт,0337e392c55e7f41e91a18d6e0e9f3a1
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №444 Фрунзенского района Санкт-Петербурга,1f3cd942014bb473092b5d96c1bee2fe
ГБОУ СОШ №444,1f3cd942014bb473092b5d96c1bee2fe
ГОУ СОШ №444,1f3cd942014bb473092b5d96c1bee2fe
Школа № 444,1f3cd942014bb473092b5d96c1bee2fe
Школа №444,1f3cd942014bb473092b5d96c1bee2fe
"№ 444, школа",1f3cd942014bb473092b5d96c1bee2fe
Государственное бюджетное общеобразовательное учреждение гимназия № 397 Кировского района Санкт-Петербурга имени Г.В. Старовойтовой,990a09afbb15c86de7e9b30d57a82db6
ГБОУ гимназия №397,990a09afbb15c86de7e9b30d57a82db6
ГОУ гимназия №397,990a09afbb15c86de7e9b30d57a82db6
Гимназия № 397,990a09afbb15c86de7e9b30d57a82db6
Гимназия №397,990a09afbb15c86de7e9b30d57a82db6
"№ 397, гимназия",990a09afbb15c86de7e9b30d57a82db6
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 409 Пушкинского района Санкт-Петербурга,7660a3704b138245a1d061dc6d2bfabb
ГБОУ СОШ №409,7660a3704b138245a1d061dc6d2bfabb
ГОУ СОШ №409,7660a3704b138245a1d061dc6d2bfabb
Школа № 409,7660a3704b138245a1d061dc6d2bfabb
Школа №409,7660a3704b138245a1d061dc6d2bfabb
"№ 409, школа",7660a3704b138245a1d061dc6d2bfabb
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №72 с углублённым изучением немецкого языка Калининского района Санкт-Петербурга,88ba10babae72f7f95658af1b0e697dd
ГБОУ СОШ №72,88ba10babae72f7f95658af1b0e697dd
ГОУ СОШ №72,88ba10babae72f7f95658af1b0e697dd
Школа № 72,88ba10babae72f7f95658af1b0e697dd
Школа №72,88ba10babae72f7f95658af1b0e697dd
"№ 72, школа",88ba10babae72f7f95658af1b0e697dd
Государственное бюджетное общеобразовательное учреждение гимназия № 631 Приморского района Санкт-Петербурга,564547b4a971e33236414bd2c023090c
ГБОУ гимназия №631,564547b4a971e33236414bd2c023090c
ГОУ гимназия №631,564547b4a971e33236414bd2c023090c
Гимназия № 631,564547b4a971e33236414bd2c023090c
Гимназия №631,564547b4a971e33236414bd2c023090c
"№ 631, гимназия",564547b4a971e33236414bd2c023090c
Государственное бюджетное общеобразовательное учреждение школа-интернат № 2 Кировского района Санкт-Петербурга,a6943fba57eef17848229d55ab6542e6
ГБОУ школа-интернат №2,a6943fba57eef17848229d55ab6542e6
ГС(К)ОУ инт.№2 (IV вида),a6943fba57eef17848229d55ab6542e6
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 358 Московского района Санкт-Петербурга,1d475fb44d1db845eea4e38a28ffa66b
ГБОУ СОШ №358,1d475fb44d1db845eea4e38a28ffa66b
ГОУ СОШ №358,1d475fb44d1db845eea4e38a28ffa66b
Школа № 358,1d475fb44d1db845eea4e38a28ffa66b
Школа №358,1d475fb44d1db845eea4e38a28ffa66b
"№ 358, школа",1d475fb44d1db845eea4e38a28ffa66b
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 15 Василеостровского района Санкт-Петербурга,2e87773c4b9ec4c2907ecfb0e7091e06
ГБОУ СОШ №15,2e87773c4b9ec4c2907ecfb0e7091e06
Школа № 15,2e87773c4b9ec4c2907ecfb0e7091e06
Школа №15,2e87773c4b9ec4c2907ecfb0e7091e06
"№ 15, школа",2e87773c4b9ec4c2907ecfb0e7091e06
